,questionType,asin,question,answerType,answer
3918,open-ended,B003YCOJAI,"Why is this marked ""Old Version""? Is there a difference between this and the regular MS Office 2011 for Mac? (other than price).",,"Not exactly sure but Office 2013 is out making this Office 2011 for MAC version an ""old version"". That being said I take my .doc and .ppt's to church where we use different versions of Office (2003, 2007, 2010) on several different PC's and the Office MAC documents work without issue. I'm very happy with the program."
3919,open-ended,B003YCOJAI,"promotion? If I bought Office for Mac 2011 edition on Amazon, does it mean I get the 2013 edition for free?",,"Microsoft has stated that there is no plan to release MS Office 2013 for Mac, only an update that would enable Microsoft's cloud storage option. Your free upgrade would presumably apply to the next Mac version, when it ultimately is delivered."
3920,yes/no,B003YCOJAI,Does this come with the disc to download????,?,Mine did. And it works really well on my Mac.
3921,yes/no,B003YCOJAI,"does it work with mountain lion, OS X",Y,"Yes it does, I am using it with Mountain Lion OS 10.8.6"
3922,open-ended,B003YCOJAI,Is Publisher no longer part of the package? If not what can I use which is the same ?,,Hi. Publisher is not part of the program. I've never used it so I don't know - I've always used Quark or Creative Suite. Sorry I can't be of more help.
3923,yes/no,B003YFHWPY,Can i install this in German??,?,"Hi there! Thank you for your question. With this product there is a selection for different languages, and German is one of them once the product key is entered it gives you an option of what language. if you were to need assistance we do have techs that can install for you. If i can help further please let me know. -Andy"
3924,open-ended,B003YFHWPY,Does this come with a cd/dvd disk or is it a download? Thanks,,Hi there! Thank you for your question. This software comes with install disc and activation key. If you have any further questions please let us know. -Thank you!
3925,open-ended,B003YFHWPY,Is this version in German or English?,,"Hi there! Thank you for your question. This version is in English, but you can select different languages if you wish. -Andy"
3926,open-ended,B003YFHWPY,"Is this a 1-user package, or how many Macs can it be installed on?",,Yes one!
3927,open-ended,B003YGMEAQ,Canon Rebel T3i VS Sony a55: Does anyone have any experience with either of these?,,"Im debating between those 2 as well, I always loved canon lenses, image quality in my opinion always outranked Sony. But recently my father bought the Sony a55 and image quality is amazing, my 12 year old sister took some pictures with it, and they look like done by a pro. Any help from experienced pros please!!!!, thanks in advance, I appreciate it!!"
3928,open-ended,B003YGMEAQ,Can I download it to more than one computer? Will I be able to put this program on both computers?,,"S. Martin is correct. Because of online activation, Adobe will ""know"" if you have it on three computers (I own and use three computers and wish this was not so, but it is what it is). However, you can leave the software installed on more than two computers, and deactivate it on one machine and activate it on another, just as long as it's only ""active"" on two computers at the same time."
3929,open-ended,B003YGMEAQ,I'm scanning old photos: Will Photoshop Elements 9 do this and everything else?????,,"Elements 9 should be able to do anything you want in terms of scanning and improving photos, unless there is a glitch in reading or accepting the scanner's driver.... which may happen if the driver for the scanner is old. When it is all working correctly, the scanner's name will show up in the import option of the left-most pull down in Elements. When you choose it and the scanner is on, you should get an interface to do the scan and the file turns up directly in the Elements editor when it is done. If there IS a compatibility issue, scans can be made with a number of accessories and freewares.... including my favorite.... Irfanview. Those files can be saved in a JPEG or TIFF format and then easily opened up for editing in Elements."
3930,open-ended,B003YGMEAQ,"Photoshp Elements tutorial: Does anyone know of a good online tutorial or website, or can recommend a book to learn PE?",,You can find many Photoshop Elements tutorials on YouTube. Start here http://www.youtube.com/results?search_query=photoshop+elements+9+tutorial&aq=4
3931,yes/no,B003YGMEAQ,"Can't Access ""Plus Member"" Content in PSE 9.0: Is anyone else having problems accessing ""plus member"" content with PSE 9.0?",?,I have the same problem.
3932,open-ended,B003YGMEAQ,Raw photos: Can I work in editor on raw photos.,,"Elements includes Adobe Camera Raw, the same raw editor as Photoshop CS5. As new cameras are supported, you can keep upgrading the camera raw plug-in at Adobe.com"
3933,open-ended,B003YGMEAQ,Rebate form: Has this happened to anyone else??,,"Update! Rebate form was in the box. You may have missed it, it was in with all the other advertisements. When I called Amazon I had to click on the product then the more info button, then a price comes up showing the rebate price of $20.00 with a form button next to it, I clicked that and it gave me the form to print HOWEVER you can not send this form in it has to be the original from the box. That's when I went back through everything that was in the box and found the form."
3934,yes/no,B003YGMEAQ,Will it download and work in Windows 8?,?,"If you are going to buy Photoshop Elements and have Windows 8** already on your computer, I would recommend you get the latest version of Photoshop. I believe elements 9 would work under the compatibility mode setting; but, you would not have the best or the most current version of Photoshop . There are a number of updates that make the program work much better. Best to get the latest that is written to work with the latest windows OS."
3935,open-ended,B003YGMEAQ,I still use Elements 2. I now have Elements 9. How do I get hundreds of photos from into 9 and not lose anything. Many are saved asTiff and Bitmap,,I quit using Elements 9 because it was so complicated. I had elements 6 and thought 9 might be better. I use Microsoft Digital Imaging Anniversary Edition 2006 and Picasa which is free and it does everything I want to do and them some. I save everything in jpeg. When saving in Digital imaging I have a choice in which format I want to save a picture in. If your picture is in Elements 9 go to file and save as and you will have a choice of the format.
3936,open-ended,B003YGMEAQ,"Since I bought a new DSL Motem, my PSE isn't working. I can't resize images, nor log in Error 400",,I'm not real sure but when I upgraded to a 64 bit computer I had to buy a new Photoshop because my original was a 32. Check out the other answers and also where you bought your program
3937,open-ended,B003YGME88,Photoshop/Elements vs. Elements: Can someone explain briefly the difference between the Photoshop/Elements program vs. just the Premiere Elements program?,,Go to the Adobe site and they have under photoshop a comparison of the programs.
3938,open-ended,B003YGME88,Photoshop Elements 9 &amp; RAW: Is Photoshop Elements 9 able to support and process RAW?,,"Yes, PSE will come with Adobe Camera Raw for editing/converting RAW images. Beware that not all Adobe Camera RAW features included in the full CS5 version are available with the Elements version. I used to use Elements/ACR for editing RAW images, but have moved to Lightroom for almost all editing, just popping to Elements for the occasional task"
3939,yes/no,B003YGME88,"Can you activate both Mac and PC version on single machine: If I buy a copy, will I run into any issues if I try to activate it on both my Mac and Boot Camp partitions?",Y,"I think the ""Dual Install"" ability on Windows and Mac is a great feature. My first purch was the Photoshop Elements 2006, I have an HP Laptop and a MacBook Pro so I had to buy them separate and it gets costly to do this. So buying one with the installation available for both my machines is great. I never buy software from a ""download"" I buy actual hardware, I want physical material in hand to find if needed to reinstall or look up info."
